Compiler GNU
 Version 9.2.0
 CFLAGS -Ofast -march=native -funroll-all-loops -mavx2 -mavx
Total memory allocated 11444 Mbytes 
Loop size              953 Mfloats
size=4194304 rep=238 Mflop/s=1240.959 MByte/s=4963.836 
size=8388608 rep=119 Mflop/s=1213.236 MByte/s=4852.945 
size=16777216 rep=59 Mflop/s=1196.210 MByte/s=4784.838 
size=33554432 rep=29 Mflop/s=1198.358 MByte/s=4793.433 
size=67108864 rep=14 Mflop/s=1181.186 MByte/s=4724.745 
size=134217728 rep=7 Mflop/s=1139.915 MByte/s=4559.660 
size=268435456 rep=3 Mflop/s=1028.429 MByte/s=4113.714 
size=536870912 rep=1 Mflop/s=783.924 MByte/s=3135.697 
a[] = (float)k*m+b single thread
size=4096 rep=10000 Mflop/s=2100.971 MByte/s=4201.942 
size=8192 rep=10000 Mflop/s=2110.252 MByte/s=4220.505 
size=16384 rep=10000 Mflop/s=2115.881 MByte/s=4231.762 
size=32768 rep=10000 Mflop/s=2118.474 MByte/s=4236.949 
size=65536 rep=10000 Mflop/s=2119.438 MByte/s=4238.876 
size=131072 rep=7629 Mflop/s=2116.263 MByte/s=4232.526 
size=262144 rep=3814 Mflop/s=2116.109 MByte/s=4232.218 
size=524288 rep=1907 Mflop/s=2116.708 MByte/s=4233.415 
size=1048576 rep=953 Mflop/s=2116.866 MByte/s=4233.732 
size=2097152 rep=476 Mflop/s=2092.943 MByte/s=4185.887 
size=4194304 rep=238 Mflop/s=2032.756 MByte/s=4065.513 
size=8388608 rep=119 Mflop/s=2003.339 MByte/s=4006.678 
size=16777216 rep=59 Mflop/s=1975.408 MByte/s=3950.817 
size=33554432 rep=29 Mflop/s=1954.551 MByte/s=3909.102 
size=67108864 rep=14 Mflop/s=1922.717 MByte/s=3845.435 
size=134217728 rep=7 Mflop/s=1871.952 MByte/s=3743.905 
size=268435456 rep=3 Mflop/s=1721.163 MByte/s=3442.326 
size=536870912 rep=1 Mflop/s=1353.173 MByte/s=2706.347 
a[] =(float)k*m+b simple fork
size=4096 rep=10000 Mflop/s=50.505 MByte/s=101.010 
size=8192 rep=10000 Mflop/s=100.937 MByte/s=201.875 
size=16384 rep=10000 Mflop/s=205.680 MByte/s=411.359 
size=32768 rep=10000 Mflop/s=423.172 MByte/s=846.345 
size=65536 rep=10000 Mflop/s=828.269 MByte/s=1656.538 
size=131072 rep=7629 Mflop/s=1553.158 MByte/s=3106.316 
size=262144 rep=3814 Mflop/s=3043.335 MByte/s=6086.671 
size=524288 rep=1907 Mflop/s=5193.684 MByte/s=10387.369 
size=1048576 rep=953 Mflop/s=6535.117 MByte/s=13070.234 
size=2097152 rep=476 Mflop/s=7824.344 MByte/s=15648.688 
size=4194304 rep=238 Mflop/s=8888.157 MByte/s=17776.315 
size=8388608 rep=119 Mflop/s=7067.621 MByte/s=14135.242 
size=16777216 rep=59 Mflop/s=7000.693 MByte/s=14001.385 
size=33554432 rep=29 Mflop/s=7020.068 MByte/s=14040.136 
size=67108864 rep=14 Mflop/s=7119.415 MByte/s=14238.829 
size=134217728 rep=7 Mflop/s=7336.985 MByte/s=14673.970 
size=268435456 rep=3 Mflop/s=7497.320 MByte/s=14994.640 
size=536870912 rep=1 Mflop/s=7445.817 MByte/s=14891.633 
a[] =k*m+b simple fork
size=4096 rep=10000 Mflop/s=50.665 MByte/s=101.331 
size=8192 rep=10000 Mflop/s=101.071 MByte/s=202.142 
size=16384 rep=10000 Mflop/s=201.333 MByte/s=402.666 
size=32768 rep=10000 Mflop/s=400.103 MByte/s=800.205 
size=65536 rep=10000 Mflop/s=849.553 MByte/s=1699.105 
size=131072 rep=7629 Mflop/s=1664.651 MByte/s=3329.301 
size=262144 rep=3814 Mflop/s=3124.168 MByte/s=6248.336 
size=524288 rep=1907 Mflop/s=6080.583 MByte/s=12161.166 
size=1048576 rep=953 Mflop/s=10629.776 MByte/s=21259.553 
size=2097152 rep=476 Mflop/s=16167.420 MByte/s=32334.840 
size=4194304 rep=238 Mflop/s=17111.973 MByte/s=34223.945 
size=8388608 rep=119 Mflop/s=7743.679 MByte/s=15487.358 
size=16777216 rep=59 Mflop/s=7723.917 MByte/s=15447.833 
size=33554432 rep=29 Mflop/s=7770.361 MByte/s=15540.723 
size=67108864 rep=14 Mflop/s=7884.024 MByte/s=15768.048 
size=134217728 rep=7 Mflop/s=7832.857 MByte/s=15665.714 
size=268435456 rep=3 Mflop/s=7793.319 MByte/s=15586.639 
size=536870912 rep=1 Mflop/s=7897.533 MByte/s=15795.066 
a[] *= m single thread
size=4096 rep=10000 Mflop/s=3320.863 MByte/s=26566.907 
size=8192 rep=10000 Mflop/s=3356.390 MByte/s=26851.121 
size=16384 rep=10000 Mflop/s=3376.345 MByte/s=27010.758 
size=32768 rep=10000 Mflop/s=3385.984 MByte/s=27087.873 
size=65536 rep=10000 Mflop/s=3388.410 MByte/s=27107.281 
size=131072 rep=7629 Mflop/s=3387.713 MByte/s=27101.707 
size=262144 rep=3814 Mflop/s=3377.685 MByte/s=27021.483 
size=524288 rep=1907 Mflop/s=3374.753 MByte/s=26998.027 
size=1048576 rep=953 Mflop/s=3374.222 MByte/s=26993.779 
size=2097152 rep=476 Mflop/s=2946.755 MByte/s=23574.042 
size=4194304 rep=238 Mflop/s=2043.384 MByte/s=16347.073 
size=8388608 rep=119 Mflop/s=2054.273 MByte/s=16434.182 
size=16777216 rep=59 Mflop/s=2037.159 MByte/s=16297.274 
size=33554432 rep=29 Mflop/s=2026.965 MByte/s=16215.722 
size=67108864 rep=14 Mflop/s=2023.660 MByte/s=16189.276 
size=134217728 rep=7 Mflop/s=2022.136 MByte/s=16177.088 
size=268435456 rep=3 Mflop/s=2004.926 MByte/s=16039.411 
size=536870912 rep=1 Mflop/s=1981.190 MByte/s=15849.516 
a[] *= m simple fork
size=4096 rep=10000 Mflop/s=24.994 MByte/s=199.954 
size=8192 rep=10000 Mflop/s=49.956 MByte/s=399.646 
size=16384 rep=10000 Mflop/s=99.428 MByte/s=795.426 
size=32768 rep=10000 Mflop/s=197.406 MByte/s=1579.244 
size=65536 rep=10000 Mflop/s=407.387 MByte/s=3259.096 
size=131072 rep=7629 Mflop/s=831.546 MByte/s=6652.370 
size=262144 rep=3814 Mflop/s=1553.872 MByte/s=12430.974 
size=524288 rep=1907 Mflop/s=3123.684 MByte/s=24989.470 
size=1048576 rep=953 Mflop/s=5465.859 MByte/s=43726.870 
size=2097152 rep=476 Mflop/s=8705.429 MByte/s=69643.433 
size=4194304 rep=238 Mflop/s=8545.932 MByte/s=68367.455 
size=8388608 rep=119 Mflop/s=3850.179 MByte/s=30801.432 
size=16777216 rep=59 Mflop/s=3775.499 MByte/s=30203.989 
size=33554432 rep=29 Mflop/s=3785.113 MByte/s=30280.904 
size=67108864 rep=14 Mflop/s=3778.106 MByte/s=30224.851 
size=134217728 rep=7 Mflop/s=3761.005 MByte/s=30088.043 
size=268435456 rep=3 Mflop/s=3705.601 MByte/s=29644.809 
size=536870912 rep=1 Mflop/s=3708.191 MByte/s=29665.531 
a[] *= m cond wait
size=4096 rep=10000 Mflop/s=61.112 MByte/s=488.899 
size=8192 rep=10000 Mflop/s=121.736 MByte/s=973.885 
size=16384 rep=10000 Mflop/s=242.207 MByte/s=1937.655 
size=32768 rep=10000 Mflop/s=477.226 MByte/s=3817.807 
size=65536 rep=10000 Mflop/s=941.560 MByte/s=7532.483 
size=131072 rep=7629 Mflop/s=1800.221 MByte/s=14401.767 
size=262144 rep=3814 Mflop/s=3402.542 MByte/s=27220.335 
size=524288 rep=1907 Mflop/s=5605.885 MByte/s=44847.079 
size=1048576 rep=953 Mflop/s=7876.517 MByte/s=63012.137 
size=2097152 rep=476 Mflop/s=9910.876 MByte/s=79287.011 
size=4194304 rep=238 Mflop/s=8417.950 MByte/s=67343.604 
size=8388608 rep=119 Mflop/s=3984.638 MByte/s=31877.107 
size=16777216 rep=59 Mflop/s=3850.701 MByte/s=30805.612 
size=33554432 rep=29 Mflop/s=3832.367 MByte/s=30658.936 
size=67108864 rep=14 Mflop/s=3775.311 MByte/s=30202.490 
size=134217728 rep=7 Mflop/s=3796.457 MByte/s=30371.660 
size=268435456 rep=3 Mflop/s=3725.250 MByte/s=29802.003 
size=536870912 rep=1 Mflop/s=3698.528 MByte/s=29588.227 
a[] *= m barrier
size=4096 rep=10000 Mflop/s=196.660 MByte/s=1573.281 
size=8192 rep=10000 Mflop/s=388.833 MByte/s=3110.667 
size=16384 rep=10000 Mflop/s=770.928 MByte/s=6167.425 
size=32768 rep=10000 Mflop/s=1409.688 MByte/s=11277.508 
size=65536 rep=10000 Mflop/s=2696.501 MByte/s=21572.008 
size=131072 rep=7629 Mflop/s=4827.098 MByte/s=38616.785 
size=262144 rep=3814 Mflop/s=6927.204 MByte/s=55417.629 
size=524288 rep=1907 Mflop/s=9559.791 MByte/s=76478.329 
size=1048576 rep=953 Mflop/s=10665.909 MByte/s=85327.272 
size=2097152 rep=476 Mflop/s=10536.419 MByte/s=84291.353 
size=4194304 rep=238 Mflop/s=8672.291 MByte/s=69378.330 
size=8388608 rep=119 Mflop/s=4154.600 MByte/s=33236.804 
size=16777216 rep=59 Mflop/s=3990.490 MByte/s=31923.917 
size=33554432 rep=29 Mflop/s=3898.043 MByte/s=31184.345 
size=67108864 rep=14 Mflop/s=3846.313 MByte/s=30770.508 
size=134217728 rep=7 Mflop/s=3839.282 MByte/s=30714.258 
size=268435456 rep=3 Mflop/s=3749.590 MByte/s=29996.721 
size=536870912 rep=1 Mflop/s=3718.066 MByte/s=29744.528 
a[] += m
size=4096 rep=10000 Mflop/s=195.125 MByte/s=1561.003 
size=8192 rep=10000 Mflop/s=385.105 MByte/s=3080.844 
size=16384 rep=10000 Mflop/s=767.121 MByte/s=6136.971 
size=32768 rep=10000 Mflop/s=1433.094 MByte/s=11464.751 
size=65536 rep=10000 Mflop/s=2706.966 MByte/s=21655.729 
size=131072 rep=7629 Mflop/s=4790.000 MByte/s=38319.999 
size=262144 rep=3814 Mflop/s=6813.880 MByte/s=54511.041 
size=524288 rep=1907 Mflop/s=9472.148 MByte/s=75777.181 
size=1048576 rep=953 Mflop/s=10230.220 MByte/s=81841.758 
size=2097152 rep=476 Mflop/s=10723.623 MByte/s=85788.981 
size=4194304 rep=238 Mflop/s=8994.913 MByte/s=71959.302 
size=8388608 rep=119 Mflop/s=4155.439 MByte/s=33243.516 
size=16777216 rep=59 Mflop/s=3986.881 MByte/s=31895.046 
size=33554432 rep=29 Mflop/s=3881.254 MByte/s=31050.029 
size=67108864 rep=14 Mflop/s=3814.750 MByte/s=30517.998 
size=134217728 rep=7 Mflop/s=3818.970 MByte/s=30551.764 
size=268435456 rep=3 Mflop/s=3761.559 MByte/s=30092.471 
size=536870912 rep=1 Mflop/s=3722.140 MByte/s=29777.123 
a[] = a[]*m+b
size=4096 rep=10000 Mflop/s=393.631 MByte/s=1574.524 
size=8192 rep=10000 Mflop/s=787.170 MByte/s=3148.680 
size=16384 rep=10000 Mflop/s=1502.261 MByte/s=6009.044 
size=32768 rep=10000 Mflop/s=2785.586 MByte/s=11142.344 
size=65536 rep=10000 Mflop/s=5247.941 MByte/s=20991.766 
size=131072 rep=7629 Mflop/s=9314.737 MByte/s=37258.948 
size=262144 rep=3814 Mflop/s=13458.615 MByte/s=53834.461 
size=524288 rep=1907 Mflop/s=17590.557 MByte/s=70362.226 
size=1048576 rep=953 Mflop/s=19457.344 MByte/s=77829.377 
size=2097152 rep=476 Mflop/s=19429.366 MByte/s=77717.465 
size=4194304 rep=238 Mflop/s=17733.157 MByte/s=70932.626 
size=8388608 rep=119 Mflop/s=8291.676 MByte/s=33166.704 
size=16777216 rep=59 Mflop/s=7919.051 MByte/s=31676.204 
size=33554432 rep=29 Mflop/s=7794.497 MByte/s=31177.989 
size=67108864 rep=14 Mflop/s=7677.881 MByte/s=30711.523 
size=134217728 rep=7 Mflop/s=7619.472 MByte/s=30477.886 
size=268435456 rep=3 Mflop/s=7468.918 MByte/s=29875.673 
size=536870912 rep=1 Mflop/s=7439.177 MByte/s=29756.708 
x[] = a[]*b[]
size=4096 rep=10000 Mflop/s=196.589 MByte/s=2359.070 
size=8192 rep=10000 Mflop/s=395.018 MByte/s=4740.221 
size=16384 rep=10000 Mflop/s=764.764 MByte/s=9177.169 
size=32768 rep=10000 Mflop/s=1472.376 MByte/s=17668.506 
size=65536 rep=10000 Mflop/s=2714.293 MByte/s=32571.521 
size=131072 rep=7629 Mflop/s=4799.758 MByte/s=57597.097 
size=262144 rep=3814 Mflop/s=7492.666 MByte/s=89911.986 
size=524288 rep=1907 Mflop/s=9901.719 MByte/s=118820.633 
size=1048576 rep=953 Mflop/s=6107.847 MByte/s=73294.167 
size=2097152 rep=476 Mflop/s=2405.562 MByte/s=28866.744 
size=4194304 rep=238 Mflop/s=2093.933 MByte/s=25127.194 
size=8388608 rep=119 Mflop/s=2104.933 MByte/s=25259.196 
size=16777216 rep=59 Mflop/s=2096.314 MByte/s=25155.770 
size=33554432 rep=29 Mflop/s=2087.559 MByte/s=25050.713 
size=67108864 rep=14 Mflop/s=2097.211 MByte/s=25166.531 
size=134217728 rep=7 Mflop/s=2097.907 MByte/s=25174.888 
size=268435456 rep=3 Mflop/s=2116.197 MByte/s=25394.363 
size=536870912 rep=1 Mflop/s=2100.146 MByte/s=25201.754 
x[] = a[]*b[]+x[]
size=4096 rep=10000 Mflop/s=392.837 MByte/s=3142.696 
size=8192 rep=10000 Mflop/s=783.771 MByte/s=6270.171 
size=16384 rep=10000 Mflop/s=1567.651 MByte/s=12541.209 
size=32768 rep=10000 Mflop/s=2881.070 MByte/s=23048.562 
size=65536 rep=10000 Mflop/s=5401.411 MByte/s=43211.289 
size=131072 rep=7629 Mflop/s=9504.081 MByte/s=76032.649 
size=262144 rep=3814 Mflop/s=15189.764 MByte/s=121518.112 
size=524288 rep=1907 Mflop/s=20263.089 MByte/s=162104.711 
size=1048576 rep=953 Mflop/s=11671.515 MByte/s=93372.120 
size=2097152 rep=476 Mflop/s=4832.396 MByte/s=38659.169 
size=4194304 rep=238 Mflop/s=4204.731 MByte/s=33637.851 
size=8388608 rep=119 Mflop/s=4192.213 MByte/s=33537.705 
size=16777216 rep=59 Mflop/s=4208.044 MByte/s=33664.354 
size=33554432 rep=29 Mflop/s=4224.947 MByte/s=33799.574 
size=67108864 rep=14 Mflop/s=4199.931 MByte/s=33599.447 
size=134217728 rep=7 Mflop/s=4193.643 MByte/s=33549.142 
size=268435456 rep=3 Mflop/s=4224.371 MByte/s=33794.969 
size=536870912 rep=1 Mflop/s=4209.038 MByte/s=33672.307 
