Compiler GNU
 Version 9.2.1
 CFLAGS -Ofast -march=native -funroll-all-loops
size=16777216 rep=20 Mflops=530.477 MByte/s=6365.729 
size=33554432 rep=10 Mflops=535.135 MByte/s=6421.622 
size=67108864 rep=5 Mflops=541.566 MByte/s=6498.791 
size=134217728 rep=2 Mflops=540.620 MByte/s=6487.441 
size=268435456 rep=1 Mflops=534.895 MByte/s=6418.734 
4flop 3xfloat
size=1024 rep=333333 Mflops=11804.449 MByte/s=35413.348 
size=2048 rep=166666 Mflops=11993.692 MByte/s=35981.077 
size=4096 rep=83333 Mflops=12059.553 MByte/s=36178.660 
size=8192 rep=41666 Mflops=12189.834 MByte/s=36569.502 
size=16384 rep=20833 Mflops=12311.682 MByte/s=36935.046 
size=32768 rep=10416 Mflops=12104.049 MByte/s=36312.147 
size=65536 rep=5208 Mflops=11880.288 MByte/s=35640.865 
size=131072 rep=2604 Mflops=11911.093 MByte/s=35733.278 
size=262144 rep=1302 Mflops=5462.222 MByte/s=16386.666 
size=524288 rep=651 Mflops=2203.965 MByte/s=6611.894 
size=1048576 rep=325 Mflops=2101.395 MByte/s=6304.184 
size=2097152 rep=162 Mflops=2107.507 MByte/s=6322.522 
size=4194304 rep=81 Mflops=2110.099 MByte/s=6330.298 
size=8388608 rep=40 Mflops=2147.660 MByte/s=6442.979 
size=16777216 rep=20 Mflops=2128.436 MByte/s=6385.307 
size=33554432 rep=10 Mflops=2127.054 MByte/s=6381.162 
size=67108864 rep=5 Mflops=2124.952 MByte/s=6374.856 
size=134217728 rep=2 Mflops=2089.914 MByte/s=6269.741 
size=268435456 rep=1 Mflops=2129.327 MByte/s=6387.980 
6flop 3xfloat
size=1024 rep=333333 Mflops=13989.059 MByte/s=27978.118 
size=2048 rep=166666 Mflops=13886.194 MByte/s=27772.388 
size=4096 rep=83333 Mflops=13929.023 MByte/s=27858.046 
size=8192 rep=41666 Mflops=14279.209 MByte/s=28558.418 
size=16384 rep=20833 Mflops=14401.752 MByte/s=28803.503 
size=32768 rep=10416 Mflops=12658.732 MByte/s=25317.464 
size=65536 rep=5208 Mflops=13236.916 MByte/s=26473.833 
size=131072 rep=2604 Mflops=13773.316 MByte/s=27546.632 
size=262144 rep=1302 Mflops=8606.551 MByte/s=17213.101 
size=524288 rep=651 Mflops=3365.836 MByte/s=6731.673 
size=1048576 rep=325 Mflops=3128.887 MByte/s=6257.774 
size=2097152 rep=162 Mflops=3157.819 MByte/s=6315.639 
size=4194304 rep=81 Mflops=3185.612 MByte/s=6371.224 
size=8388608 rep=40 Mflops=3153.598 MByte/s=6307.195 
size=16777216 rep=20 Mflops=3084.067 MByte/s=6168.133 
size=33554432 rep=10 Mflops=3125.784 MByte/s=6251.568 
size=67108864 rep=5 Mflops=3187.296 MByte/s=6374.593 
size=134217728 rep=2 Mflops=3170.302 MByte/s=6340.603 
size=268435456 rep=1 Mflops=3176.373 MByte/s=6352.746 
8flop 3xfloat
size=1024 rep=333333 Mflops=14543.161 MByte/s=21814.742 
size=2048 rep=166666 Mflops=14634.799 MByte/s=21952.199 
size=4096 rep=83333 Mflops=14739.219 MByte/s=22108.828 
size=8192 rep=41666 Mflops=14342.478 MByte/s=21513.717 
size=16384 rep=20833 Mflops=14826.227 MByte/s=22239.341 
size=32768 rep=10416 Mflops=13530.897 MByte/s=20296.346 
size=65536 rep=5208 Mflops=14709.115 MByte/s=22063.672 
size=131072 rep=2604 Mflops=15147.682 MByte/s=22721.524 
size=262144 rep=1302 Mflops=9541.947 MByte/s=14312.920 
size=524288 rep=651 Mflops=4454.300 MByte/s=6681.449 
size=1048576 rep=325 Mflops=4179.170 MByte/s=6268.755 
size=2097152 rep=162 Mflops=4131.753 MByte/s=6197.629 
size=4194304 rep=81 Mflops=4228.086 MByte/s=6342.129 
size=8388608 rep=40 Mflops=4198.506 MByte/s=6297.759 
size=16777216 rep=20 Mflops=4257.460 MByte/s=6386.190 
size=33554432 rep=10 Mflops=4238.350 MByte/s=6357.526 
size=67108864 rep=5 Mflops=4246.504 MByte/s=6369.755 
size=134217728 rep=2 Mflops=4285.612 MByte/s=6428.419 
size=268435456 rep=1 Mflops=4263.065 MByte/s=6394.597 
10flop 3xfloat
size=1024 rep=333333 Mflops=15476.652 MByte/s=18571.982 
size=2048 rep=166666 Mflops=15747.602 MByte/s=18897.123 
size=4096 rep=83333 Mflops=15740.657 MByte/s=18888.789 
size=8192 rep=41666 Mflops=15764.765 MByte/s=18917.718 
size=16384 rep=20833 Mflops=15842.788 MByte/s=19011.345 
size=32768 rep=10416 Mflops=14256.069 MByte/s=17107.282 
size=65536 rep=5208 Mflops=14956.062 MByte/s=17947.274 
size=131072 rep=2604 Mflops=14676.836 MByte/s=17612.203 
size=262144 rep=1302 Mflops=10345.969 MByte/s=12415.163 
size=524288 rep=651 Mflops=5569.568 MByte/s=6683.482 
size=1048576 rep=325 Mflops=5309.199 MByte/s=6371.039 
size=2097152 rep=162 Mflops=5148.755 MByte/s=6178.506 
size=4194304 rep=81 Mflops=5144.396 MByte/s=6173.276 
size=8388608 rep=40 Mflops=5247.284 MByte/s=6296.741 
size=16777216 rep=20 Mflops=5344.800 MByte/s=6413.760 
size=33554432 rep=10 Mflops=5272.487 MByte/s=6326.985 
size=67108864 rep=5 Mflops=5174.290 MByte/s=6209.148 
size=134217728 rep=2 Mflops=5240.406 MByte/s=6288.487 
size=268435456 rep=1 Mflops=5209.051 MByte/s=6250.862 
12flop 3xfloat
size=1024 rep=333333 Mflops=15239.492 MByte/s=15239.492 
size=2048 rep=166666 Mflops=16285.937 MByte/s=16285.937 
size=4096 rep=83333 Mflops=15969.199 MByte/s=15969.199 
size=8192 rep=41666 Mflops=16622.838 MByte/s=16622.838 
size=16384 rep=20833 Mflops=16651.031 MByte/s=16651.031 
size=32768 rep=10416 Mflops=16502.201 MByte/s=16502.201 
size=65536 rep=5208 Mflops=16507.075 MByte/s=16507.075 
size=131072 rep=2604 Mflops=16367.695 MByte/s=16367.695 
size=262144 rep=1302 Mflops=11329.372 MByte/s=11329.372 
size=524288 rep=651 Mflops=6611.257 MByte/s=6611.257 
size=1048576 rep=325 Mflops=6280.453 MByte/s=6280.453 
size=2097152 rep=162 Mflops=6286.067 MByte/s=6286.067 
size=4194304 rep=81 Mflops=6359.933 MByte/s=6359.933 
size=8388608 rep=40 Mflops=6280.100 MByte/s=6280.100 
size=16777216 rep=20 Mflops=6286.008 MByte/s=6286.008 
size=33554432 rep=10 Mflops=6311.475 MByte/s=6311.475 
size=67108864 rep=5 Mflops=6313.606 MByte/s=6313.606 
size=134217728 rep=2 Mflops=6351.758 MByte/s=6351.758 
size=268435456 rep=1 Mflops=6275.013 MByte/s=6275.013 
