Compiler GNU
 Version 9.2.1
 CFLAGS -Ofast -march=native -funroll-all-loops -mavx2 -mavx
Total memory allocated 11444 Mbytes 
Loop size              953 Mfloats
size=4194304 rep=238 Mflop/s=1493.336 MByte/s=5973.342 
size=8388608 rep=119 Mflop/s=1527.406 MByte/s=6109.625 
size=16777216 rep=59 Mflop/s=1524.805 MByte/s=6099.221 
size=33554432 rep=29 Mflop/s=1523.163 MByte/s=6092.651 
size=67108864 rep=14 Mflop/s=1491.517 MByte/s=5966.066 
size=134217728 rep=7 Mflop/s=1435.163 MByte/s=5740.653 
size=268435456 rep=3 Mflop/s=1302.839 MByte/s=5211.355 
size=536870912 rep=1 Mflop/s=983.056 MByte/s=3932.224 
a[] = (float)k*m+b single thread
size=4096 rep=10000 Mflop/s=2486.120 MByte/s=4972.239 
size=8192 rep=10000 Mflop/s=2573.558 MByte/s=5147.115 
size=16384 rep=10000 Mflop/s=2576.474 MByte/s=5152.948 
size=32768 rep=10000 Mflop/s=2581.528 MByte/s=5163.056 
size=65536 rep=10000 Mflop/s=2601.719 MByte/s=5203.438 
size=131072 rep=7629 Mflop/s=2653.444 MByte/s=5306.888 
size=262144 rep=3814 Mflop/s=2639.426 MByte/s=5278.851 
size=524288 rep=1907 Mflop/s=2636.307 MByte/s=5272.614 
size=1048576 rep=953 Mflop/s=2630.958 MByte/s=5261.915 
size=2097152 rep=476 Mflop/s=2460.960 MByte/s=4921.921 
size=4194304 rep=238 Mflop/s=2502.698 MByte/s=5005.395 
size=8388608 rep=119 Mflop/s=2471.517 MByte/s=4943.035 
size=16777216 rep=59 Mflop/s=2454.375 MByte/s=4908.750 
size=33554432 rep=29 Mflop/s=2438.414 MByte/s=4876.828 
size=67108864 rep=14 Mflop/s=2393.680 MByte/s=4787.361 
size=134217728 rep=7 Mflop/s=2320.332 MByte/s=4640.664 
size=268435456 rep=3 Mflop/s=2133.028 MByte/s=4266.056 
size=536870912 rep=1 Mflop/s=1651.800 MByte/s=3303.599 
a[] =(float)k*m+b simple fork
size=4096 rep=10000 Mflop/s=73.416 MByte/s=146.832 
size=8192 rep=10000 Mflop/s=147.654 MByte/s=295.308 
size=16384 rep=10000 Mflop/s=287.830 MByte/s=575.659 
size=32768 rep=10000 Mflop/s=539.782 MByte/s=1079.565 
size=65536 rep=10000 Mflop/s=894.218 MByte/s=1788.436 
size=131072 rep=7629 Mflop/s=1632.267 MByte/s=3264.534 
size=262144 rep=3814 Mflop/s=2434.158 MByte/s=4868.317 
size=524288 rep=1907 Mflop/s=3160.111 MByte/s=6320.222 
size=1048576 rep=953 Mflop/s=2971.816 MByte/s=5943.632 
size=2097152 rep=476 Mflop/s=2641.761 MByte/s=5283.523 
size=4194304 rep=238 Mflop/s=2849.356 MByte/s=5698.712 
size=8388608 rep=119 Mflop/s=2985.716 MByte/s=5971.432 
size=16777216 rep=59 Mflop/s=3038.271 MByte/s=6076.541 
size=33554432 rep=29 Mflop/s=3069.235 MByte/s=6138.469 
size=67108864 rep=14 Mflop/s=3085.637 MByte/s=6171.274 
size=134217728 rep=7 Mflop/s=3089.516 MByte/s=6179.032 
size=268435456 rep=3 Mflop/s=3097.912 MByte/s=6195.823 
size=536870912 rep=1 Mflop/s=3097.588 MByte/s=6195.176 
a[] =k*m+b simple fork
size=4096 rep=10000 Mflop/s=71.981 MByte/s=143.963 
size=8192 rep=10000 Mflop/s=144.656 MByte/s=289.313 
size=16384 rep=10000 Mflop/s=296.055 MByte/s=592.111 
size=32768 rep=10000 Mflop/s=592.032 MByte/s=1184.064 
size=65536 rep=10000 Mflop/s=1130.019 MByte/s=2260.037 
size=131072 rep=7629 Mflop/s=1908.380 MByte/s=3816.760 
size=262144 rep=3814 Mflop/s=3409.743 MByte/s=6819.485 
size=524288 rep=1907 Mflop/s=6026.293 MByte/s=12052.587 
size=1048576 rep=953 Mflop/s=7136.588 MByte/s=14273.177 
size=2097152 rep=476 Mflop/s=2996.052 MByte/s=5992.104 
size=4194304 rep=238 Mflop/s=2974.150 MByte/s=5948.300 
size=8388608 rep=119 Mflop/s=3024.317 MByte/s=6048.634 
size=16777216 rep=59 Mflop/s=3046.019 MByte/s=6092.038 
size=33554432 rep=29 Mflop/s=3061.110 MByte/s=6122.219 
size=67108864 rep=14 Mflop/s=3069.429 MByte/s=6138.858 
size=134217728 rep=7 Mflop/s=3070.881 MByte/s=6141.763 
size=268435456 rep=3 Mflop/s=3074.128 MByte/s=6148.256 
size=536870912 rep=1 Mflop/s=3081.297 MByte/s=6162.594 
a[] *= m single thread
size=4096 rep=10000 Mflop/s=3871.833 MByte/s=30974.666 
size=8192 rep=10000 Mflop/s=3981.206 MByte/s=31849.650 
size=16384 rep=10000 Mflop/s=4039.019 MByte/s=32312.155 
size=32768 rep=10000 Mflop/s=4058.644 MByte/s=32469.152 
size=65536 rep=10000 Mflop/s=4065.652 MByte/s=32525.216 
size=131072 rep=7629 Mflop/s=4079.634 MByte/s=32637.076 
size=262144 rep=3814 Mflop/s=4079.221 MByte/s=32633.765 
size=524288 rep=1907 Mflop/s=4094.597 MByte/s=32756.776 
size=1048576 rep=953 Mflop/s=3232.006 MByte/s=25856.049 
size=2097152 rep=476 Mflop/s=1616.781 MByte/s=12934.249 
size=4194304 rep=238 Mflop/s=1607.656 MByte/s=12861.249 
size=8388608 rep=119 Mflop/s=1612.374 MByte/s=12898.994 
size=16777216 rep=59 Mflop/s=1615.836 MByte/s=12926.690 
size=33554432 rep=29 Mflop/s=1616.884 MByte/s=12935.075 
size=67108864 rep=14 Mflop/s=1618.651 MByte/s=12949.209 
size=134217728 rep=7 Mflop/s=1619.037 MByte/s=12952.299 
size=268435456 rep=3 Mflop/s=1619.531 MByte/s=12956.244 
size=536870912 rep=1 Mflop/s=1620.706 MByte/s=12965.650 
a[] *= m simple fork
size=4096 rep=10000 Mflop/s=37.065 MByte/s=296.519 
size=8192 rep=10000 Mflop/s=75.230 MByte/s=601.837 
size=16384 rep=10000 Mflop/s=147.757 MByte/s=1182.060 
size=32768 rep=10000 Mflop/s=292.270 MByte/s=2338.158 
size=65536 rep=10000 Mflop/s=561.553 MByte/s=4492.422 
size=131072 rep=7629 Mflop/s=980.386 MByte/s=7843.091 
size=262144 rep=3814 Mflop/s=1830.692 MByte/s=14645.539 
size=524288 rep=1907 Mflop/s=3079.994 MByte/s=24639.951 
size=1048576 rep=953 Mflop/s=3208.159 MByte/s=25665.269 
size=2097152 rep=476 Mflop/s=1512.336 MByte/s=12098.686 
size=4194304 rep=238 Mflop/s=1477.790 MByte/s=11822.321 
size=8388608 rep=119 Mflop/s=1507.246 MByte/s=12057.967 
size=16777216 rep=59 Mflop/s=1520.594 MByte/s=12164.755 
size=33554432 rep=29 Mflop/s=1529.059 MByte/s=12232.470 
size=67108864 rep=14 Mflop/s=1531.668 MByte/s=12253.346 
size=134217728 rep=7 Mflop/s=1535.206 MByte/s=12281.647 
size=268435456 rep=3 Mflop/s=1536.228 MByte/s=12289.824 
size=536870912 rep=1 Mflop/s=1536.835 MByte/s=12294.680 
a[] *= m cond wait
size=4096 rep=10000 Mflop/s=55.252 MByte/s=442.019 
size=8192 rep=10000 Mflop/s=109.442 MByte/s=875.536 
size=16384 rep=10000 Mflop/s=215.179 MByte/s=1721.429 
size=32768 rep=10000 Mflop/s=421.143 MByte/s=3369.144 
size=65536 rep=10000 Mflop/s=836.356 MByte/s=6690.844 
size=131072 rep=7629 Mflop/s=1564.205 MByte/s=12513.642 
size=262144 rep=3814 Mflop/s=2606.099 MByte/s=20848.788 
size=524288 rep=1907 Mflop/s=3904.561 MByte/s=31236.492 
size=1048576 rep=953 Mflop/s=3934.573 MByte/s=31476.588 
size=2097152 rep=476 Mflop/s=1678.713 MByte/s=13429.704 
size=4194304 rep=238 Mflop/s=1537.725 MByte/s=12301.801 
size=8388608 rep=119 Mflop/s=1532.746 MByte/s=12261.971 
size=16777216 rep=59 Mflop/s=1535.749 MByte/s=12285.989 
size=33554432 rep=29 Mflop/s=1536.129 MByte/s=12289.030 
size=67108864 rep=14 Mflop/s=1536.840 MByte/s=12294.720 
size=134217728 rep=7 Mflop/s=1537.183 MByte/s=12297.465 
size=268435456 rep=3 Mflop/s=1538.486 MByte/s=12307.887 
size=536870912 rep=1 Mflop/s=1537.856 MByte/s=12302.847 
a[] *= m barrier
size=4096 rep=10000 Mflop/s=106.202 MByte/s=849.617 
size=8192 rep=10000 Mflop/s=207.412 MByte/s=1659.298 
size=16384 rep=10000 Mflop/s=433.280 MByte/s=3466.239 
size=32768 rep=10000 Mflop/s=813.550 MByte/s=6508.399 
size=65536 rep=10000 Mflop/s=1588.599 MByte/s=12708.793 
size=131072 rep=7629 Mflop/s=2837.082 MByte/s=22696.659 
size=262144 rep=3814 Mflop/s=3995.669 MByte/s=31965.349 
size=524288 rep=1907 Mflop/s=4733.551 MByte/s=37868.410 
size=1048576 rep=953 Mflop/s=4583.024 MByte/s=36664.195 
size=2097152 rep=476 Mflop/s=1846.155 MByte/s=14769.241 
size=4194304 rep=238 Mflop/s=1614.186 MByte/s=12913.487 
size=8388608 rep=119 Mflop/s=1573.873 MByte/s=12590.982 
size=16777216 rep=59 Mflop/s=1555.097 MByte/s=12440.775 
size=33554432 rep=29 Mflop/s=1546.564 MByte/s=12372.510 
size=67108864 rep=14 Mflop/s=1542.846 MByte/s=12342.768 
size=134217728 rep=7 Mflop/s=1541.035 MByte/s=12328.276 
size=268435456 rep=3 Mflop/s=1539.054 MByte/s=12312.435 
size=536870912 rep=1 Mflop/s=1539.110 MByte/s=12312.880 
a[] += m
size=4096 rep=10000 Mflop/s=105.302 MByte/s=842.418 
size=8192 rep=10000 Mflop/s=213.827 MByte/s=1710.620 
size=16384 rep=10000 Mflop/s=436.315 MByte/s=3490.520 
size=32768 rep=10000 Mflop/s=808.461 MByte/s=6467.690 
size=65536 rep=10000 Mflop/s=1612.894 MByte/s=12903.151 
size=131072 rep=7629 Mflop/s=2728.843 MByte/s=21830.747 
size=262144 rep=3814 Mflop/s=3851.209 MByte/s=30809.672 
size=524288 rep=1907 Mflop/s=4532.968 MByte/s=36263.747 
size=1048576 rep=953 Mflop/s=4399.939 MByte/s=35199.513 
size=2097152 rep=476 Mflop/s=1835.283 MByte/s=14682.268 
size=4194304 rep=238 Mflop/s=1610.791 MByte/s=12886.326 
size=8388608 rep=119 Mflop/s=1574.779 MByte/s=12598.233 
size=16777216 rep=59 Mflop/s=1556.157 MByte/s=12449.254 
size=33554432 rep=29 Mflop/s=1545.781 MByte/s=12366.247 
size=67108864 rep=14 Mflop/s=1541.371 MByte/s=12330.969 
size=134217728 rep=7 Mflop/s=1540.312 MByte/s=12322.498 
size=268435456 rep=3 Mflop/s=1538.739 MByte/s=12309.909 
size=536870912 rep=1 Mflop/s=1537.396 MByte/s=12299.169 
a[] = a[]*m+b
size=4096 rep=10000 Mflop/s=212.321 MByte/s=849.283 
size=8192 rep=10000 Mflop/s=425.125 MByte/s=1700.498 
size=16384 rep=10000 Mflop/s=871.079 MByte/s=3484.317 
size=32768 rep=10000 Mflop/s=1575.237 MByte/s=6300.949 
size=65536 rep=10000 Mflop/s=3159.412 MByte/s=12637.647 
size=131072 rep=7629 Mflop/s=5447.220 MByte/s=21788.880 
size=262144 rep=3814 Mflop/s=7405.913 MByte/s=29623.653 
size=524288 rep=1907 Mflop/s=8430.902 MByte/s=33723.607 
size=1048576 rep=953 Mflop/s=8652.713 MByte/s=34610.854 
size=2097152 rep=476 Mflop/s=3681.806 MByte/s=14727.222 
size=4194304 rep=238 Mflop/s=3223.603 MByte/s=12894.410 
size=8388608 rep=119 Mflop/s=3144.635 MByte/s=12578.541 
size=16777216 rep=59 Mflop/s=3114.107 MByte/s=12456.429 
size=33554432 rep=29 Mflop/s=3097.767 MByte/s=12391.069 
size=67108864 rep=14 Mflop/s=3085.796 MByte/s=12343.185 
size=134217728 rep=7 Mflop/s=3079.606 MByte/s=12318.422 
size=268435456 rep=3 Mflop/s=3078.120 MByte/s=12312.479 
size=536870912 rep=1 Mflop/s=3078.661 MByte/s=12314.645 
x[] = a[]*b[]
size=4096 rep=10000 Mflop/s=108.321 MByte/s=1299.855 
size=8192 rep=10000 Mflop/s=210.611 MByte/s=2527.329 
size=16384 rep=10000 Mflop/s=422.996 MByte/s=5075.952 
size=32768 rep=10000 Mflop/s=846.532 MByte/s=10158.382 
size=65536 rep=10000 Mflop/s=1534.186 MByte/s=18410.237 
size=131072 rep=7629 Mflop/s=2911.013 MByte/s=34932.160 
size=262144 rep=3814 Mflop/s=4072.514 MByte/s=48870.169 
size=524288 rep=1907 Mflop/s=1193.289 MByte/s=14319.466 
size=1048576 rep=953 Mflop/s=832.753 MByte/s=9993.038 
size=2097152 rep=476 Mflop/s=820.808 MByte/s=9849.692 
size=4194304 rep=238 Mflop/s=823.871 MByte/s=9886.454 
size=8388608 rep=119 Mflop/s=825.910 MByte/s=9910.918 
size=16777216 rep=59 Mflop/s=827.003 MByte/s=9924.041 
size=33554432 rep=29 Mflop/s=827.296 MByte/s=9927.551 
size=67108864 rep=14 Mflop/s=826.995 MByte/s=9923.942 
size=134217728 rep=7 Mflop/s=827.205 MByte/s=9926.456 
size=268435456 rep=3 Mflop/s=827.960 MByte/s=9935.516 
size=536870912 rep=1 Mflop/s=828.052 MByte/s=9936.621 
x[] = a[]*b[]+x[]
size=4096 rep=10000 Mflop/s=211.552 MByte/s=1692.419 
size=8192 rep=10000 Mflop/s=419.487 MByte/s=3355.897 
size=16384 rep=10000 Mflop/s=835.308 MByte/s=6682.462 
size=32768 rep=10000 Mflop/s=1659.676 MByte/s=13277.408 
size=65536 rep=10000 Mflop/s=3058.698 MByte/s=24469.582 
size=131072 rep=7629 Mflop/s=5775.607 MByte/s=46204.854 
size=262144 rep=3814 Mflop/s=8144.373 MByte/s=65154.985 
size=524288 rep=1907 Mflop/s=2376.383 MByte/s=19011.062 
size=1048576 rep=953 Mflop/s=1663.798 MByte/s=13310.384 
size=2097152 rep=476 Mflop/s=1643.897 MByte/s=13151.174 
size=4194304 rep=238 Mflop/s=1647.740 MByte/s=13181.923 
size=8388608 rep=119 Mflop/s=1649.708 MByte/s=13197.667 
size=16777216 rep=59 Mflop/s=1652.448 MByte/s=13219.582 
size=33554432 rep=29 Mflop/s=1652.858 MByte/s=13222.861 
size=67108864 rep=14 Mflop/s=1653.739 MByte/s=13229.911 
size=134217728 rep=7 Mflop/s=1654.451 MByte/s=13235.609 
size=268435456 rep=3 Mflop/s=1656.880 MByte/s=13255.038 
size=536870912 rep=1 Mflop/s=1657.766 MByte/s=13262.125 
