Total memory allocated 3906 Mbytes
Loop size              325 Mfloats
size=32768 rep=10416 Mflops=10828.925 MByte/s=10828.925 
size=65536 rep=5208 Mflops=10824.641 MByte/s=10824.641 
size=131072 rep=2604 Mflops=10803.936 MByte/s=10803.936 
size=262144 rep=1302 Mflops=10172.270 MByte/s=10172.270 
size=524288 rep=651 Mflops=9595.475 MByte/s=9595.475 
size=1048576 rep=325 Mflops=9378.013 MByte/s=9378.013 
size=2097152 rep=162 Mflops=9428.041 MByte/s=9428.041 
size=4194304 rep=81 Mflops=9524.469 MByte/s=9524.469 
size=8388608 rep=40 Mflops=9494.477 MByte/s=9494.477 
size=16777216 rep=20 Mflops=9347.829 MByte/s=9347.829 
size=33554432 rep=10 Mflops=9470.302 MByte/s=9470.302 
size=67108864 rep=5 Mflops=9499.284 MByte/s=9499.284 
size=134217728 rep=2 Mflops=9581.985 MByte/s=9581.985 
size=268435456 rep=1 Mflops=9632.299 MByte/s=9632.299 
